Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Individual Single Premium,17.22,106.98,11.12,92.91,15.15,200,1587,270,2595,-38.84,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,172.48,1419.62,154.24,1334.0,6.42,20936,198627,21792,208878,-4.91,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,65.66,1845.66,67.33,1268.14,45.54,8,48,4,79,-39.24,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,4.56,58.06,0.38,4.11,1313.8,0,1,0,2,-50.0,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,3.46,60.48,11.12,64.39,-6.08,33,410,61,494,-17.0,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,263.38,3490.8,244.19,2763.55,26.32,21177,200673,22127,212048,-5.36,21jan.xls,2021-01-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,17.35,189.04,12.79,107.35,76.1,383,4985,323,3661,36.16,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,28.9,182.9,23.99,221.53,-17.44,3705,25696,2928,36197,-29.01,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,35.13,86.29,14.81,114.13,-24.4,0,0,0,2,-100.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.05,0.0,0.33,-85.73,0,5,0,0,0.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,81.38,458.28,51.59,443.35,3.37,4088,30686,3251,39860,-23.02,21jan.xls,2021-01-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.0,9.58,0.82,7.32,30.86,0,298,90,475,-37.26,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,12.77,91.73,12.27,89.55,2.43,1622,14250,2214,15842,-10.05,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.99,0.29,2.25,-56.2,0,0,1,1,-100.0,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.07,1.06,0.06,1.13,-6.48,0,0,0,0,0.0,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.99,46.1,3.83,83.48,-44.78,0,114,2,29,293.1,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,15.83,149.45,17.28,183.73,-18.66,1622,14662,2307,16347,-10.31,21jan.xls,2021-01-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,107.81,1148.44,92.66,869.33,32.11,366,4338,172,1528,183.9,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,468.9,3345.91,408.96,3025.32,10.6,56288,483041,55460,465660,3.73,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,59.18,314.76,40.79,259.85,21.13,3,17,1,99,-82.83,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,2.39,72.77,12.4,93.83,-22.44,1,393,89,735,-46.53,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Total,638.28,4881.89,554.81,4248.32,14.91,56658,487789,55722,468022,4.22,21jan.xls,2021-01-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,4.65,38.0,13.26,66.01,-42.43,101,746,29,395,88.86,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,241.03,1716.09,182.05,1497.86,14.57,36517,325064,32103,243941,33.26,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,237.78,2419.99,259.17,2417.63,0.1,8,54,2,47,14.89,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-8.1,0,0,0,0,0.0,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,24.98,154.32,18.03,150.75,2.37,26,105,2,35,200.0,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Total,508.44,4328.4,472.51,4132.25,4.75,36652,325969,32136,244418,33.37,21jan.xls,2021-01-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,0.06,0.52,0.09,2.29,-77.26,5,22,2,15034,-99.85,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Non Single Premium,1.52,31.57,6.22,58.21,-45.75,817,12692,1780,19022,-33.28,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Single Premium,0.0,5.23,0.0,1.08,383.71,0,0,0,0,0.0,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Yearly Renewable Premium,8.06,18.45,2.06,13.48,36.9,25,75,12,93,-19.35,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Total,9.65,55.78,8.36,75.06,-25.68,847,12789,1794,34149,-62.55,21jan.xls,2021-01-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Single Premium,4.7,77.33,3.04,34.16,126.34,35,2768,31,5266,-47.44,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,54.9,399.56,52.63,481.88,-17.08,9654,83203,12858,173245,-51.97,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,13.23,96.38,11.34,166.46,-42.1,-1,11,3,9,22.22,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.19,2.5,0.0,0.0,0.0,0,3,0,0,0.0,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,1,1
Total,73.02,575.77,67.0,682.51,-15.64,9688,85985,12892,178520,-51.83,21jan.xls,2021-01-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,42.25,362.79,8.04,58.41,521.06,245,3132,33,380,724.21,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,104.25,640.47,92.73,782.49,-18.15,14302,130131,11581,122743,6.02,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,12.64,599.84,7.19,327.24,83.3,0,9,0,10,-10.0,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.42,2.82,0.51,5.93,-52.39,0,2,0,3,-33.33,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,3.95,137.78,2.39,84.36,63.33,7,58,2,7,728.57,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,163.51,1743.71,110.86,1258.44,38.56,14554,133332,11616,123143,8.27,21jan.xls,2021-01-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1.4,5.67,1.2,7.31,-22.42,2000,2408,68,2273,5.94,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,34.73,281.27,34.5,253.05,11.15,5622,57051,7934,60612,-5.88,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,2.03,10.4,1.59,15.66,-33.61,0,0,1,4,-100.0,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,1.32,2.71,0.17,5.93,-54.27,0,0,0,2,-100.0,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.78,4.67,3.14,8.93,-47.76,4,28,7,42,-33.33,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,40.27,304.71,40.6,290.88,4.76,7626,59487,8010,62933,-5.48,21jan.xls,2021-01-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,8.83,66.51,10.38,100.42,-33.77,92,950,160,2097,-54.7,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,51.85,400.09,65.61,519.04,-22.92,12034,111035,16832,154492,-28.13,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.08,0.52,0.06,0.37,40.2,0,0,0,0,0.0,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,1.6,13.87,0.98,7.71,79.81,0,21,3,33,-36.36,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,8.26,44.05,8.33,61.19,-28.02,0,0,0,0,0.0,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,70.62,525.04,85.37,688.73,-23.77,12126,112006,16995,156622,-28.49,21jan.xls,2021-01-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.42,2.36,0.53,4.54,-47.9,24,112,38,275,-59.27,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,28.08,213.5,30.9,276.33,-22.74,4201,37810,5774,52048,-27.36,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,9.28,46.95,6.05,58.89,-20.27,0,5,0,3,66.67,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.32,49.14,63.45,302.71,-83.77,0,23,5,39,-41.03,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,40.1,311.96,100.93,642.46,-51.44,4225,37950,5817,52365,-27.53,21jan.xls,2021-01-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,309.62,2771.89,293.55,2288.82,21.11,3876,32282,3538,32056,0.71,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,677.44,5042.77,540.3,4598.57,9.66,82682,729791,78205,689147,5.9,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,710.24,7373.19,609.46,6512.27,13.22,14,134,12,152,-11.84,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,26.21,167.38,35.45,355.92,-52.97,1,66,10,209,-68.42,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1723.5,15355.24,1478.75,13755.59,11.63,86573,762273,81765,721564,5.64,21jan.xls,2021-01-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,328.95,1794.66,127.76,1057.05,69.78,3260,19992,1931,14639,36.57,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,544.03,3702.4,609.7,5471.63,-32.33,57510,480699,73665,616237,-21.99,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,241.1,1565.14,213.76,1686.5,-7.2,14,69,18,120,-42.5,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,125.04,2075.84,97.15,1005.71,106.41,293,2260,141,1311,72.39,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1239.12,9138.05,1048.36,9220.89,-0.9,61077,503020,75755,632307,-20.45,21jan.xls,2021-01-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.63,25.25,1.08,17.03,48.33,154,1064,268,15760,-93.25,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,70.79,600.9,70.01,623.79,-3.67,15602,143165,13683,133597,7.16,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,68.11,886.74,100.22,812.4,9.15,17,158,25,135,17.04,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.06,0.41,0.06,0.39,5.18,1,3,2,4,-25.0,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,142.58,1513.31,171.37,1453.61,4.11,15774,144390,13978,149496,-3.42,21jan.xls,2021-01-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,4.41,42.67,3.8,39.67,7.56,129,1235,145,1209,2.15,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,79.69,661.75,70.46,705.85,-6.25,16325,146977,15704,165274,-11.07,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.71,-100.0,0,0,0,0,0.0,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,12.72,96.03,0.99,40.21,138.81,2,24,0,13,84.62,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.44,9.07,0.67,13.73,-33.96,5,45,4,33,36.36,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,97.26,809.5,75.91,800.17,1.17,16461,148281,15853,166529,-10.96,21jan.xls,2021-01-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,115.74,774.27,73.27,558.67,38.59,5470,31395,3416,38037,-17.46,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,158.84,1084.46,153.27,1149.89,-5.69,23258,208816,22806,206361,1.19,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,117.75,666.56,103.66,939.55,-29.06,16,161,43,208,-22.6,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.06,0.48,0.19,3.83,-87.37,0,14,0,25,-44.0,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,105.51,815.84,57.53,1236.74,-34.03,43,533,31,416,28.13,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,497.9,3341.63,387.92,3888.69,-14.07,28787,240919,26296,245047,-1.68,21jan.xls,2021-01-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,10.65,77.54,0.69,13.03,495.11,189,1139,25,420,171.19,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,132.74,998.19,126.33,1037.42,-3.78,21908,185681,18199,157184,18.13,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,51.12,251.07,37.54,316.22,-20.6,1,1,2,7,-85.71,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.08,0.56,0.1,0.56,0.97,12,139,16,147,-5.44,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,9.51,47.12,5.35,46.77,0.74,0,0,0,0,0.0,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,204.1,1374.49,170.0,1414.0,-2.79,22110,186960,18242,157758,18.51,21jan.xls,2021-01-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.15,1.69,0.24,7.5,-77.47,6,2019,11,324,523.15,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Non Single Premium,8.16,92.68,12.7,132.96,-30.29,2599,21358,3191,33242,-35.75,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Single Premium,13.38,61.95,14.71,248.33,-75.05,1,11,2,51,-78.43,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Yearly Renewable Premium,0.95,22.37,1.25,70.18,-68.13,12,175,16,434,-59.68,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Total,22.64,178.69,28.9,458.97,-61.07,2618,23563,3220,34051,-30.8,21jan.xls,2021-01-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,222.89,1947.03,141.42,1378.59,41.23,4423,36811,2988,27094,35.86,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,1174.83,7580.49,1173.34,8330.66,-9.0,171297,1234475,158059,1287452,-4.11,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,450.18,6485.32,249.77,4493.15,44.34,11,131,8,77,70.13,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,2.5,13.83,3.74,11.85,16.68,0,2,0,0,0.0,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Yearly Renewable Premium,24.75,286.91,27.11,168.26,70.52,23,292,28,545,-46.42,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1875.16,16313.58,1595.38,14382.51,13.43,175754,1271711,161083,1315168,-3.3,21jan.xls,2021-01-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,5.21,42.58,2.54,30.75,38.48,135,1189,121,1651,-27.98,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,40.59,358.17,36.4,355.06,0.87,27607,206759,23593,210333,-1.7,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,20.89,115.58,13.59,158.51,-27.08,0,3,0,5,-40.0,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,9.18,85.29,1.14,11.97,612.33,9,98,2,12,716.67,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,75.87,601.61,53.67,556.29,8.15,27751,208049,23716,212001,-1.86,21jan.xls,2021-01-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,29.37,157.13,11.67,75.03,109.41,403,2871,248,1626,76.57,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,53.32,477.4,39.44,435.36,9.66,8510,69601,5590,61725,12.76,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,18.17,109.11,9.09,66.78,63.38,0,2,0,0,0.0,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.05,1.01,0.15,1.43,-29.34,0,0,0,0,0.0,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,8.14,92.7,1.14,29.96,209.45,1,14,0,13,7.69,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,109.06,837.35,61.5,608.56,37.6,8914,72488,5838,63364,14.4,21jan.xls,2021-01-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,28.21,516.06,42.48,362.73,42.27,232,3185,266,2255,41.24,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,276.98,2338.51,263.96,2021.6,15.68,34254,334605,46749,368738,-9.26,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,4.7,20.74,2.44,33.65,-38.36,0,1,0,0,0.0,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.73,45.42,16.8,61.77,-26.47,0,43,10,65,-33.85,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,43.79,78.05,1.17,19.87,292.77,48,234,18,140,67.14,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,354.41,2998.78,326.85,2499.61,19.97,34534,338068,47043,371198,-8.93,21jan.xls,2021-01-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,1263.54,10157.99,852.41,7178.91,41.5,21728,154528,14173,169050,-8.59,21jan.xls,2021-01-01,PRIVATE,Private,0,0
Individual Non Single Premium,4416.83,31660.46,4159.99,33402.04,-5.21,627250,5240527,630700,5481970,-4.4,21jan.xls,2021-01-01,PRIVATE,Private,0,0
Group Single Premium,2130.62,22962.42,1762.86,19899.79,15.39,92,815,122,1009,-19.23,21jan.xls,2021-01-01,PRIVATE,Private,0,0
Group Non Single Premium,24.17,236.31,24.13,145.18,62.77,15,254,31,294,-13.61,21jan.xls,2021-01-01,PRIVATE,Private,0,0
Group Yearly Renewable Premium,410.9,4270.84,352.7,3822.25,11.74,531,4926,430,4587,7.39,21jan.xls,2021-01-01,PRIVATE,Private,0,0
PRIVATE TOTAL,8246.06,69288.01,7152.09,64448.17,7.51,649616,5401050,645456,5656910,-4.52,21jan.xls,2021-01-01,PRIVATE,Private,0,0
Individual Single Premium,1755.9,24763.08,2080.93,19966.0,24.03,83715,763457,100146,764940,-0.19,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
Individual Non Single Premium,2656.01,20150.63,4976.66,25344.82,-20.49,2451122,13304353,3942949,18820695,-29.31,21jan.xls,2021-01-01,LIFE INSURANCE CORPORATION OF INDIA,Public,0,0
